,Ticker,freeCashFlow_RA,freeCashFlow_A,netChangeInCash_A,preferredStock_M,revenue,revenue_A,grossProfit_A,ebitda,eps,netIncome,dividendsPaid_A,Score
0,HOFVW,-0.026092630999999998,-0.021003496898333335,0.002104583416666666,2e-09,0.008664187,0.002915102666666666,-0.003116375583333334,-0.009162597522583334,-0.10155916062777735,-0.015252600002083332,-4.9999999999999996e-05,-0.125196486608694
1,HOFVW,-0.026092630999999998,-0.021003496898333335,0.002104583416666666,2e-09,0.008664187,0.002915102666666666,-0.003116375583333334,-0.009162597522583334,-0.10155916062777735,-0.015252600002083332,-4.9999999999999996e-05,-0.125196486608694
2,BKNG,1.5465,0.7084166666666666,0.49324999999999997,0.0,4.049,2.9036666666666666,0.8005,0.7370833333333332,9.006666666666668,0.35683333333333334,0.0,16.769333333333336
3,CMG,0.21100375,0.1645096666666667,-0.008292916666666662,0.0,2.180599,1.8471955833333331,0.40085075,0.27305391666666673,5.685963587921847,0.15898758333333332,0.0,8.39002842125518
4,TPL,0.11172599999999999,0.07346033333333334,0.01779475,0.0,0.152706,0.11818574999999999,0.11195566666666663,0.10081550000000002,9.609166666666665,0.07436591666666667,-0.04451708333333334,10.048428874999997
5,CAR,1.1152499999999996,-0.5845000000000001,-0.014916666666666675,0.0,2.771,2.22575,1.5331666666666666,1.1129166666666666,5.459166666666666,0.27975,0.0,10.952291666666666
6,MSTR,0.00018125000000000085,-0.3008090833333333,-0.033912333333333336,0.0,0.132554,0.12423008333333331,0.10040066666666665,-0.17150299999999996,-15.403333333333338,-0.16773341666666666,0.0,-15.404112708333336
7,MELI,0.6215,0.3147465,0.15929491666666662,0.098843,1.907,1.7070728333333334,0.8231051666666667,0.20514575,0.9375,0.04704975,-0.00027966666666666667,4.40023475
8,MPWR,0.046957750000000006,0.05206391666666666,0.009637749999999999,0.0,0.460012,0.32053316666666665,0.1833304166666667,0.08950608333333333,1.5250000000000001,0.07033925,-0.028009583333333334,2.129603625
9,MNDY,0.0020342499999999996,-0.002660166666666667,0.058327916666666674,0.0,0.149921,0.0823585,0.07168941666666666,-0.03102658333333333,-0.9374640327216431,-0.03486366666666667,0.0,-0.7978089077216431
10,TDG,0.23025,0.22374999999999998,-0.0755,0.0,1.397,1.2719166666666666,0.6875,0.5456666666666666,2.891666666666666,0.18100000000000002,-0.2555,5.4892916666666665
11,TSLA,1.888,1.1446666666666667,0.8450833333333332,0.0,24.318,13.901750000000002,3.4240833333333343,2.6004166666666664,0.5097221666666668,1.5910833333333334,0.0,24.2075555
12,SNPS,0.3892365,0.32881066666666664,0.037915500000000005,0.0,1.36134,1.12483125,0.8905270833333333,0.28356533333333334,1.4041666666666668,0.21373875,0.0,3.6340196666666666
13,CDNS,0.27966975,0.24690541666666663,0.014759583333333331,0.0,0.899877,0.7694044166666667,0.6932033333333333,0.24860091666666664,0.6525,0.17796258333333334,0.0,2.2901500416666667
